,Code,Description,Relative Value,FUD,PC/TC Split
 +,95962,"Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures; each additional hour of attendance by a physician or other qualified health care professional (List separately in addition to code for primary procedure)",33.82,ZZZ,80/20
,95965,"Magnetoencephalography (MEG), recording and analysis; for spontaneous brain magnetic activity (eg, epileptic cerebral cortex localization)",432.85,XXX,20/80
,95966,"Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, single modality (eg, sensory, motor, language, or visual cortex localization)",216.07,XXX,20/80
+,95967,"Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, each additional modality (eg, sensory, motor, language, or visual cortex localization) (List separately in addition to code for primary procedure)",188.35,ZZZ,20/80
,95970,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient compliance measurements); simple or complex brain, spinal cord, or peripheral (ie, cranial nerve, peripheral nerve, sacral nerve, neuromuscular) neurostimulator pulse gen- erator/transmitter, without reprogramming",10.91,XXX,
,95971,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient compliance measurements); simple spinal cord, or peripheral (ie, peripheral nerve, sacral nerve, neuromuscular) neurostimulator pulse generator/transmitter, with intraop- erative or subsequent programming",16.4,XXX,
,95972,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient compliance measurements); complex spinal cord, or peripheral (ie, peripheral nerve, sacral nerve, neuromuscular) (except cranial nerve) neurostimulator pulse genera- tor/transmitter, with intraoperative or subsequent programming",32.72,XXX,
,95974,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient compliance measurements); complex cranial nerve neurostimulator pulse generator/transmit- ter, with intraoperative or subsequent programming, with or without nerve inter- face testing, first hour",65.44,XXX,
+,95975,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient compliance measurements); complex cranial nerve neurostimulator pulse generator/transmit- ter, with intraoperative or subsequent programming, each additional 30 minutes after first hour (List separately in addition to code for primary procedure)",32.72,ZZZ,
,95978,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, battery status, electrode selectability and polarity, impedance and patient compliance measurements), complex deep brain neuro- stimulator pulse generator/transmitter, with initial or subsequent programming; first hour",71.87,XXX,
+,95979,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, battery status, electrode selectability and polarity, impedance and patient compliance measurements), complex deep brain neuro- stimulator pulse generator/transmitter, with initial or subsequent programming; each additional 30 minutes after first hour (List separately in addition to code for primary procedure)",35.51,ZZZ,
,95980,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient measure- ments) gastric neurostimulator pulse generator/transmitter; intraoperative, with programming",14.37,XXX,
