,,Code,Description,Relative Value,FUD
■,,96110,"Developmental screening (eg, developmental milestone survey, speech and language delay screen), with scoring and documentation, per standardized instrument",17.00,XXX
,,96111,"Developmental testing, (includes assessment of motor, language, social, adaptive, and/or cognitive functioning by standardized developmental instruments) with interpretation and report",19.87,XXX
,,96116,"Neurobehavioral status exam (clinical assessment of thinking, reasoning and judgment, eg, acquired knowledge, attention, language, memory, planning and problem solving, and visual spatial abilities), per hour of the psychologist's or physician's time, both face-to-face time with the patient and time interpreting test results and preparing the report",27.39,XXX
,,96118,"Neuropsychological testing (eg, Halstead-Reitan Neuropsychological Battery, Wechsler Memory Scales and Wisconsin Card Sorting Test), per hour of the psychologist's or physi- cian's time, both face-to-face time administering tests to the patient and time interpreting these test results and preparing the report",29.59,XXX
,,96119,"Neuropsychological testing (eg, Halstead-Reitan Neuropsychological Battery, Wechsler Memory Scales and Wisconsin Card Sorting Test), with qualified health care professional interpretation and report, administered by technician, per hour of technician time, face-to-face",16.57,XXX
,,96120,"Neuropsychological testing (eg, Wisconsin Card Sorting Test), administered by a computer, with qualified health care professional interpretation and report",12.18,XXX
,,96150,"Health and behavior assessment (eg, health-focused clinical interview, behavioral observa- tions, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; initial assessment",5.92,XXX
,,96151,"Health and behavior assessment (eg, health-focused clinical interview, behavioral observa- tions, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; re-assessment",2.96,XXX
,,96152,"Health and behavior intervention, each 15 minutes, face-to-face; individual",2.96,XXX
,,96153,"Health and behavior intervention, each 15 minutes, face-to-face; group (2 or more patients)",4.23,XXX
,,96154,"Health and behavior intervention, each 15 minutes, face-to-face; family (with the patient present)",4.23,XXX
,,96155,"Health and behavior intervention, each 15 minutes, face-to-face; family (without the patient present)",4.23,XXX
■,,97127,"Therapeutic interventions that focus on cognitive function (eg, attention, memory, reason- ing, executive function, problem solving, and/or pragmatic functioning) and compensatory strategies to manage the performance of an activity (eg, managing time or schedules, initiat- ing, organizing and sequencing tasks), direct (one-on-one) patient contact",9.03,XXX
■,B,97533,"Sensory integrative techniques to enhance sensory processing and promote adaptive responses to environmental demands, direct (one-on-one) patient contact, each 15 minutes",5.55,XXX
,B,97545,Work hardening/conditioning ; initial 4 hours,28.00,XXX
,B,97546,Work hardening/conditioning; each additional hour (List separately in addition to code for primary procedure),3.30,ZZZ
■,,99075,Medical testimony,Refer to Rules,XXX
■,,99243,"Office consultation for a new or established patient, which requires these 3 key compo- nents: A detailed history; A detailed examination; and Medical decision making of low com- plexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 40 minutes are spent face-to-face with the patient and/or family.",16.49,XXX
,,99499,Unlisted evaluation and management service,BR,XXX
